candidate,constituency,party,criminal_cases,education,total_assets,liabilities
Dr. Khagendra Nath Mahata,GOPIBALLAVPUR,AITC,0,Graduate Professional,8871800,804081
Dr. Nirmal Maji,ULUBERIA UTTAR (SC),AITC,2,Post Graduate,8435790,381835
Dr. Pulin Bihari Baske,KESHIARY (ST),CPI(M),1,Graduate Professional,9344011,0
Dr. Shyamal Santra,SONAMUKHI (SC),AITC,0,Doctorate,6023310,2471586
Dulal Murmu,NAYAGRAM (ST),AITC,0,Post Graduate,12035096,0
Faisal Khan,KHANAKUL,Rashtriya Secular Majlis Party,0,5th Pass,469350,0
Falguni Mukherjee,CHHATNA,Revolutionary Socialist Party,1,12th Pass,552503,0
Fulchand Hansda,RANIBANDH (ST),Bahujan Mukti Party,0,Graduate,111000,0
Ganesh Bouri,RAGHUNATHPUR (SC),CPI(M),0,Graduate,495506,300000
Ganesh Chandra Hazra,ULUBERIA UTTAR (SC),IND,0,12th Pass,2182008,634000
Ganesh Chandra Mondal,KULTALI (SC),AITC,0,Graduate,63301383,12392528
Gazi Shahabuddin Siraji,CANNING PURBA,Rashtriya Secular Majlis Party,0,Post Graduate,234253,169423
Ghosh Susanta,SALBONI,CPI(M),6,10th Pass,3881988,0
Gias Uddin Molla,MAGRAHAT PASCHIM,AITC,0,8th Pass,15716054,6363282
Gobardhan Manna,JAGATBALLAVPUR,Indian Unity Centre,0,8th Pass,1343800,0
Gobinda Majhi,KULTALI (SC),IND,1,Graduate,11498500,1220000
Golam Ali Sekh,DIAMOND HARBOUR,BSP,0,12th Pass,3706952,0
Gopal Chandra Mandal,CANNING PASCHIM (SC),IND,0,12th Pass,13000,0
Gouranga Das,CHANDRAKONA (SC),Rashtriya Secular Majlis Party,0,Post Graduate,9893533,0
Gouri Sing Sardar,MANBAZAR (ST),BJP,0,10th Pass,628255,0
Goutam Kumar Mudi,RANIBANDH (ST),SUCI(C),1,Post Graduate,1949000,735000
Goutam Pal,SATGACHHIA,CPI(M),0,Post Graduate,5382739,0
Goutam Panda,TAMLUK,CPI,0,Graduate,1439664,0
Gunasindhu Haldar,RAIDIGHI,SUCI(C),5,8th Pass,841237,0
Habul Kumar Mandal,MAGRAHAT PASCHIM,IND,0,Graduate,1140000,0
Haji Mursid Uddin Sekh,MAGRAHAT PASCHIM,IND,3,10th Pass,3265000,0
Hamlet Baskey,JHARGRAM,IND,0,12th Pass,208000,0
Harakali Protiher,KATULPUR (SC),BJP,0,Post Graduate,6641745,3500000
Haran Biswas,MAGRAHAT PASCHIM,Party for Democratic Socialism,0,10th Pass,450000,0
Hare Krishna Bera,TAMLUK,BJP,0,Doctorate,54000643,0
